NAME,CHART_TYPE,IMAGE_TYPE,URL
FancyImageUploader.Content.img.Class_Diagram1.png,Class,png,https://raw.githubusercontent.com/01db0y/ShareIt/master/FancyImageUploader/Content/img/Class Diagram1.png
src.decorator.DecoratorDesignPattern.png,Class,png,https://raw.githubusercontent.com/0416354917/COMP6442/master/src/decorator/DecoratorDesignPattern.png
1_-_Systemdesign.3_-_4th.04_Systemdesign.Diagrammer.SSD.UC1_Simple_Sequence_Diagram.png,Sequence,png,https://raw.githubusercontent.com/09421/Track-A-Bus/master/1 - Systemdesign/3 - 4th/04_Systemdesign/Diagrammer/SSD/UC1 Simple Sequence Diagram.png
1_-_Systemdesign.3_-_4th.04_Systemdesign.Diagrammer.SSD.UC1.1_Simple_Sequence_Diagram.png,Sequence,png,https://raw.githubusercontent.com/09421/Track-A-Bus/master/1 - Systemdesign/3 - 4th/04_Systemdesign/Diagrammer/SSD/UC1.1 Simple Sequence Diagram.png
1_-_Systemdesign.3_-_4th.04_Systemdesign.Diagrammer.SSD.UC1.2_Simple_Sequence_Diagram.png,Sequence,png,https://raw.githubusercontent.com/09421/Track-A-Bus/master/1 - Systemdesign/3 - 4th/04_Systemdesign/Diagrammer/SSD/UC1.2 Simple Sequence Diagram.png
Sources_Do_Projeto_Quantum.src.Icones.Class_Diagram0.png,Class,png,https://raw.githubusercontent.com/10moreira/Quantum-System/master/Sources Do Projeto Quantum/src/Icones/Class Diagram0.png
diagrams.IterationThree.class_diagram1.png,Class,png,https://raw.githubusercontent.com/1130838/ESINF_PartThree/master/diagrams/IterationThree/class_diagram1.png
diagrams.IterationThree.class_diagram2.png,Class,png,https://raw.githubusercontent.com/1130838/ESINF_PartThree/master/diagrams/IterationThree/class_diagram2.png
5th_Week.Binh_PhoneManagement.SE18_PhamNgocBinh_AssetManagement.Export_SequenceDiagram_v1.0.png,Sequence,png,https://raw.githubusercontent.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/master/5th Week/Binh_PhoneManagement/SE18_PhamNgocBinh_AssetManagement.Export_SequenceDiagram_v1.0.png
5th_Week.Binh_PhoneManagement.SE18_PhamNgocBinh_PhoneManagement.Export_SequenceDiagram_v1.0.png,Sequence,png,https://raw.githubusercontent.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/master/5th Week/Binh_PhoneManagement/SE18_PhamNgocBinh_PhoneManagement.Export_SequenceDiagram_v1.0.png
5th_Week.Binh_PhoneManagement.SE18_PhamNgocBinh_PhoneManagement.Import_SequenceDiagram_v1.0.png,Sequence,png,https://raw.githubusercontent.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/master/5th Week/Binh_PhoneManagement/SE18_PhamNgocBinh_PhoneManagement.Import_SequenceDiagram_v1.0.png
5th_Week.Binh_PhoneManagement.SE18_PhamNgocBinh_PhoneManagement.Order_SequenceDiagram_v1.0.png,Sequence,png,https://raw.githubusercontent.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/master/5th Week/Binh_PhoneManagement/SE18_PhamNgocBinh_PhoneManagement.Order_SequenceDiagram_v1.0.png
5th_Week.Binh_PhoneManagement.SE18_PhamNgocBinh_PhoneManagement_SequenceDiagram_v1.0.png,Sequence,png,https://raw.githubusercontent.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/master/5th Week/Binh_PhoneManagement/SE18_PhamNgocBinh_PhoneManagement_SequenceDiagram_v1.0.png
5th_Week.Binh_PhoneManagement.SE18_PhamNgocBinh_AssetManagement.Order_SequenceDiagram_v2.0.png,Sequence,png,https://raw.githubusercontent.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/master/5th Week/Binh_PhoneManagement/SE18_PhamNgocBinh_AssetManagement.Order_SequenceDiagram_v2.0.png
5th_Week.Binh_PhoneManagement.SE18_PhamNgocBinh_AssetManagement_SequenceDiagram_v2.0.png,Sequence,png,https://raw.githubusercontent.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/master/5th Week/Binh_PhoneManagement/SE18_PhamNgocBinh_AssetManagement_SequenceDiagram_v2.0.png
5th_Week.Binh_PhoneManagement.SE18_PhamNgocBinh_PhoneManagement.Export_SequenceDiagram_v2.0.png,Sequence,png,https://raw.githubusercontent.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/master/5th Week/Binh_PhoneManagement/SE18_PhamNgocBinh_PhoneManagement.Export_SequenceDiagram_v2.0.png
6th_Week.Binh_PhoneManagement_-v2.0.SE18_PhamNgocBinh_AssetManagement.Edit_SequenceDiagram_v2.0.png,Sequence,png,https://raw.githubusercontent.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/master/6th Week/Binh_PhoneManagement -v2.0/SE18_PhamNgocBinh_AssetManagement.Edit_SequenceDiagram_v2.0.png
6th_Week.Binh_PhoneManagement_-v2.0.SE18_PhamNgocBinh_AssetManagement.Export_SequenceDiagram_v2.0.png,Sequence,png,https://raw.githubusercontent.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/master/6th Week/Binh_PhoneManagement -v2.0/SE18_PhamNgocBinh_AssetManagement.Export_SequenceDiagram_v2.0.png
6th_Week.Binh_PhoneManagement_-v2.0.SE18_PhamNgocBinh_AssetManagement.Order_SequenceDiagram_v2.0.png,Sequence,png,https://raw.githubusercontent.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/master/6th Week/Binh_PhoneManagement -v2.0/SE18_PhamNgocBinh_AssetManagement.Order_SequenceDiagram_v2.0.png
7th_Week.1._BAI_NOP_CHO_FSOFT.SE18_SanPham_Tuan7.SE18_LeQuangChanh_AssetManagement.Edit_SequenceDiagram_v3.0.png,Sequence,png,https://raw.githubusercontent.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/master/7th Week/1. BAI NOP CHO FSOFT/SE18_SanPham_Tuan7/SE18_LeQuangChanh_AssetManagement.Edit_SequenceDiagram_v3.0.png
7th_Week.1._BAI_NOP_CHO_FSOFT.SE18_SanPham_Tuan7.SE18_LeQuangChanh_AssetManagement.Export_SequenceDiagram_v3.0.png,Sequence,png,https://raw.githubusercontent.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/master/7th Week/1. BAI NOP CHO FSOFT/SE18_SanPham_Tuan7/SE18_LeQuangChanh_AssetManagement.Export_SequenceDiagram_v3.0.png
7th_Week.1._BAI_NOP_CHO_FSOFT.SE18_SanPham_Tuan7.SE18_LeQuangChanh_AssetManagement.Import_SequenceDiagram_v3.0.png,Sequence,png,https://raw.githubusercontent.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/master/7th Week/1. BAI NOP CHO FSOFT/SE18_SanPham_Tuan7/SE18_LeQuangChanh_AssetManagement.Import_SequenceDiagram_v3.0.png
7th_Week.1._BAI_NOP_CHO_FSOFT.SE18_SanPham_Tuan7.SE18_LeQuangChanh_AssetManagement_SequenceDiagram_v3.0.png,Sequence,png,https://raw.githubusercontent.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/master/7th Week/1. BAI NOP CHO FSOFT/SE18_SanPham_Tuan7/SE18_LeQuangChanh_AssetManagement_SequenceDiagram_v3.0.png
7th_Week.1._BAI_NOP_CHO_FSOFT.SE18_SanPham_Tuan7.SE18_PhamNgocBinh_PhoneManagement.Import_SequenceDiagram_v3.0.png,Sequence,png,https://raw.githubusercontent.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/master/7th Week/1. BAI NOP CHO FSOFT/SE18_SanPham_Tuan7/SE18_PhamNgocBinh_PhoneManagement.Import_SequenceDiagram_v3.0.png
7th_Week.1._BAI_NOP_CHO_FSOFT.SE18_SanPham_Tuan7.SE18_PhamNgocBinh_PhoneManagement_SequenceDiagram_v3.0.png,Sequence,png,https://raw.githubusercontent.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/master/7th Week/1. BAI NOP CHO FSOFT/SE18_SanPham_Tuan7/SE18_PhamNgocBinh_PhoneManagement_SequenceDiagram_v3.0.png
SolutionContraGame.ClassDiagram.png,Class,png,https://raw.githubusercontent.com/12520054/etn-contra-game/master/SolutionContraGame/ClassDiagram.png
tasks.task04.classDiagram.png,Class,png,https://raw.githubusercontent.com/131213web/ProjectTask/master/tasks/task04/classDiagram.png
HealthHoney.src.main.webapp.WEB-INF.document.diagram.class_diagram.png,Class,png,https://raw.githubusercontent.com/1404Team4/HealthHoney/master/HealthHoney/src/main/webapp/WEB-INF/document/diagram/class_diagram.png
Class_Diagram.png,Class,png,https://raw.githubusercontent.com/theguyontheleft/ScoreHighlights/master/Class Diagram.png
Bilder.diagram.png,Class,png,https://raw.githubusercontent.com/1berg/SimMA/master/Bilder/diagram.png
LaTeX.images.api_uml.png,Class,png,https://raw.githubusercontent.com/1berg/SimMA/master/LaTeX/images/api_uml.png
LaTeX.images.api_uml_public.png,Class,png,https://raw.githubusercontent.com/1berg/SimMA/master/LaTeX/images/api_uml_public.png
LaTeX.images.simulator_uml.png,Class,png,https://raw.githubusercontent.com/1berg/SimMA/master/LaTeX/images/simulator_uml.png
LaTeX.images.simulator_uml_public.png,Class,png,https://raw.githubusercontent.com/1berg/SimMA/master/LaTeX/images/simulator_uml_public.png
LaTeX.images.uml_api_essenz.png,Class,png,https://raw.githubusercontent.com/1berg/SimMA/master/LaTeX/images/uml_api_essenz.png
LaTeX.images.uml_simulator_essenz.png,Class,png,https://raw.githubusercontent.com/1berg/SimMA/master/LaTeX/images/uml_simulator_essenz.png
leancloud-docs.images.message_type_diagram.png,Class,png,https://raw.githubusercontent.com/2ger/gtd/master/leancloud-docs/images/message_type_diagram.png
images.ClassOverviewUML.png,Class,png,https://raw.githubusercontent.com/32pounds/LaTexDocumenation/master/images/ClassOverviewUML.png
images.diagram_render.png,Class,png,https://raw.githubusercontent.com/32pounds/LaTexDocumenation/master/images/diagram_render.png
Docs.Images.Class_Diagram.png,Class,png,https://raw.githubusercontent.com/343-Epoch/epoch-trackr/master/Docs/Images/Class Diagram.png
presentation.Sequence_Diagram.Create_Read_release_sequence_diagram.png,Sequence,png,https://raw.githubusercontent.com/3873757/Software-Engineering/master/presentation/Sequence_Diagram/Create_Read_release_sequence_diagram.png
presentation.Sequence_Diagram.delete_release_sequence_diagram.png,Sequence,png,https://raw.githubusercontent.com/3873757/Software-Engineering/master/presentation/Sequence_Diagram/delete_release_sequence_diagram.png
presentation.Sequence_Diagram.update_release_squenceDiagram.png,Sequence,png,https://raw.githubusercontent.com/3873757/Software-Engineering/master/presentation/Sequence_Diagram/update_release_squenceDiagram.png
MP.Item_UML.png,Class,png,https://raw.githubusercontent.com/3v1n0/jshopinvoice/master/MP/Item_UML.png
Documents.ANODISYS_class_diagram.ANODISYS_class_diagram.png,Class,png,https://raw.githubusercontent.com/4201715125/S4201715125V1/master/Documents/ANODISYS_class_diagram/ANODISYS_class_diagram.png
Observerhomework2.assignment2diagram.png,Class,png,https://raw.githubusercontent.com/454Team/Assignment2/master/Observerhomework2/assignment2diagram.png
Code.SGBag.IHM.javadoc.modele.diagrammes_sequences.ChargementXML.sequence_diagram.png,Sequence,png,https://raw.githubusercontent.com/4IF-H4202/SysBag/master/Code/SGBag/IHM/javadoc/modele/diagrammes_sequences/ChargementXML.sequence_diagram.png
Code.SGBag.IHM.javadoc.modele.diagrammes_sequences.ClicAjoutBagageManuel.sequence_diagram.png,Sequence,png,https://raw.githubusercontent.com/4IF-H4202/SysBag/master/Code/SGBag/IHM/javadoc/modele/diagrammes_sequences/ClicAjoutBagageManuel.sequence_diagram.png
Code.SGBag.IHM.javadoc.modele.diagrammes_sequences.ClicAjoutBagageManuel2.sequence_diagram.png,Sequence,png,https://raw.githubusercontent.com/4IF-H4202/SysBag/master/Code/SGBag/IHM/javadoc/modele/diagrammes_sequences/ClicAjoutBagageManuel2.sequence_diagram.png
